Sources can be outdated very quickly and thus will be updated periodically - otherwise refer also to state ministries etc. where numbers differ as updating checks are made by us from Kreis (district) to Landes (state) or within the district websites,,,,,,,,,,,,,,,,,,,,,,,,
"Data can be used for reproduction with attribution to ""Risklayer GmbH (www.risklayer.com) and Center for Disaster Management and Risk Reduction Technology (CEDIM) at Karlsruhe Institute of Technology (KIT) and the Risklayer-CEDIM SARS-CoV-2 Crowdsourcing Contributors"".",,,,,,,|,,,,,,,,,,,,,,,,,
"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,HIER BITTE ANFANGEN,,,,,,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,
Vogelsbergkreis,Landkreis,9,125%,https://www.vogelsbergkreis.de/kreisverwaltung/presse/ansicht.html?tx_ttnews%5Btt_news%5D=8565&cHash=356a8df8b497242be96eb2f519321ea3,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,18/03/2020 14:00,9,,,,,,,,0,,,,,,,,,6
Vogtlandkreis,Landkreis,5,150%,https://www.vogtlandkreis.de/B%C3%BCrgerservice-und-Verwaltung/Infos-und-Services/Pressemitteilungen,https://www.sms.sachsen.de/coronavirus.html,18/03/2020 16:30,5,,,,,,,,0,,,,,,,,,14
Vorpommern-Greifswald,Landkreis,13,44%,"https://www.kreis-vg.de/Kurzmen%C3%BC/Startseite/Aktuelles-zum-CORONA-Virus.php?object=tx,3079.5&ModID=7&FID=3079.14685.1","https://www.kreis-vg.de/Kurzmen%C3%BC/Startseite/Aktuelles-zum-CORONA-Virus.php?object=tx,3079.5&ModID=7&FID=3079.14685.1",19/03/2020 00:00,13,,,,,,,,0,,,,,,,,,13
Vorpommern-Rügen,Landkreis,9,50%,https://www.lk-vr.de/,https://www.lk-vr.de/,19/03/2020 00:00,9,,,,,,,,0,,,,,,,,,13
Vulkaneifel,Landkreis,17,55%,https://www.vulkaneifel.de/aktuelles/aktuelles-aus-rat-und-verwaltung/weitere-bestaetigte-corona-faelle-im-landkreis-vulkaneifel.html,https://www.vulkaneifel.de/aktuelles.html,18/03/2020 20:00,17,,,,,,,,0,,,,,,,,,7
Waldeck-Frankenberg,Landkreis,18,125%,https://www.landkreis-waldeck-frankenberg.de/city_info/webaccessibility/index.cfm?modul_id=2&record_id=109129,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,18/03/2020 14:00,18,,,,,,,,0,,,,,,,,,6
Waldshut,Landkreis,17,113%,https://www.landkreis-waldshut.de/aktuelles/,https://www.landkreis-waldshut.de/aktuelles/,19/03/2020 00:00,17,,,,,,,,0,,,,,,,,,8
Warendorf,Kreis,108,29%,https://www.kreis-warendorf.de/aktuelles/presseinformationen/,https://www.kreis-warendorf.de/aktuelles/presseinformationen/,19/03/2020 00:00,111,,,,,,https://www.bezreg-muenster.de/de/presse/2020/2020-03-06_corona-infektionen/index.html,,1,,,,,,,,,5
Wartburgkreis,Landkreis,5,0%,https://www.wartburgkreis.de/leben-im-wartburgkreis/gesundheit/aktuelle-informationen-zum-corona-virus,https://www.wartburgkreis.de/leben-im-wartburgkreis/gesundheit/aktuelle-informationen-zum-corona-virus,18/03/2020 22:20,5,,,,,,,,0,,,,,,,,,16
Weiden i.d. OPf.,Kreisfreie Stadt,7,0%,https://www.weiden.de/stadt/willkommen/aktuelles/zwei-weitere-coronafaelle-in-weiden,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 22:00,7,,,,,,,,0,,,,,,,,,9
Weilheim-Schongau,Landkreis,27,4%,https://www.weilheim-schongau.de/aktuelles/aktuelle-meldungen/pressemitteilung-54-2020-vom-16032020/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 22:00,27,,,,,,,,0,,,,,,,,,9
Weimar,Kreisfreie Stadt,6,200%,https://stadt.weimar.de/nc/aktuell/,https://stadt.weimar.de/nc/aktuell/,18/03/2020 22:20,6,,,,,,,,0,,,,,,,,,16
Weimarer Land,Landkreis,2,100%,https://www.weimarerland.de/soziales/index.html,https://www.weimarerland.de/soziales/index.html,18/03/2020 22:20,2,,,,,,,,0,,,,,,,,,16
Weißenburg-Gunzenhausen,Landkreis,5,150%,https://www.landkreis-wug.de/presseliveticker-corona/,https://www.landkreis-wug.de/newsticker-corona/,18/03/2020 12:00,5,,,,,,,,0,,,,,,,,,9
Werra-Meißner-Kreis,Landkreis,1,0%,https://www.werra-meissner-kreis.de/fileadmin/01_Homepage_Kreisverwaltung/Fachbereiche_und_Einrichtungen/VL_Stab_Verwaltungsleitung_und_-steuerung/POE_Presse_und_Oeffentlichkeitsarbeit_Buergerreferent_Kultur/Presse-_und_OEffentlichkeitsarbeit/Pressemitteilungen/Pressemitteilungen_2020/03_Maerz/20.03.16_Erster_Coronafall_WMK.pdf,https://www.werra-meissner-kreis.de/fileadmin/01_Homepage_Kreisverwaltung/Fachbereiche_und_Einrichtungen/VL_Stab_Verwaltungsleitung_und_-steuerung/POE_Presse_und_Oeffentlichkeitsarbeit_Buergerreferent_Kultur/Presse-_und_OEffentlichkeitsarbeit/Pressemitteilungen/Pressemitteilungen_2020/03_Maerz/20.03.16_Erster_Coronafall_WMK.pdf,19/03/2020 00:00,1,,,,,,,,0,,,,,,,,,6
Wesel,Kreis,152,21%,https://www.kreis-wesel.de/de/presse/aktueller-stand-der-infektionsfaelle-mit-coronavirus-covid-19-im-kreis-wesel-2851183/,https://www.kreis-wesel.de/de/presse/aktueller-stand-der-infektionsfaelle-mit-coronavirus-covid-19-im-kreis-wesel-1424873/,18/03/2020 12:00,99,,,,,,https://www.kreis-wesel.de/de/presse/aktueller-stand-der-infektionsfaelle-mit-coronavirus-covid-19-im-kreis-wesel-8021953/,,1,,,,,,,,,5
Wesermarsch,Landkreis,4,NEU,http://www.landkreis-wesermarsch.de/verwaltung-politik/fachdienste-im-ueberblick/gesundheit/aktuelles-coronoavirus.php,http://www.landkreis-wesermarsch.de/verwaltung-politik/fachdienste-im-ueberblick/gesundheit/aktuelles-coronoavirus.php,18/03/2020 14:00,4,,,,,,,,0,,,,,,,,,3
Westerwaldkreis,Landkreis,54,2%,https://www.westerwaldkreis.de/aktuelles-detailansicht/gesundheitsamt-informiert.html,https://www.westerwaldkreis.de/aktuelles-detailansicht/gesundheitsamt-informiert.html,19/03/2020 00:30,54,,,,,,,,0,,,,,,,,,7
Wetteraukreis,Landkreis,15,0%,https://www.wetteraukreis.de/aktuelles/corona/pressemitteilungen-corona/detail/news/gemeinsames-schreiben-der-kreisspitze-zu-corona/,https://www.wetteraukreis.de/aktuelles/corona/pressemitteilungen-corona/detail/news/gemeinsames-schreiben-der-kreisspitze-zu-corona/,19/03/2020 00:00,15,,,,,,,,0,,,,,,,,,6
Wiesbaden,Kreisfreie Stadt,22,0%,https://www.wiesbaden.de/leben-in-wiesbaden/gesundheit/gesundheitsfoerderung/infos-coronavirus.php,https://www.wiesbaden.de/leben-in-wiesbaden/gesundheit/gesundheitsfoerderung/infos-coronavirus.php,19/03/2020 00:00,35,,2250,,,3/18/2020 16:00,https://www.wiesbaden.de/leben-in-wiesbaden/gesundheit/gesundheitsfoerderung/infos-coronavirus.php,,1,,,,,,,,,6
Wilhelmshaven,Kreisfreie Stadt,5,67%,https://www.wilhelmshaven.de/Aktuelles/37209-Zwei-weitere-best%C3%A4tigte-Corona-F%C3%A4lle-in-Wilhelmshaven.html?pid=12899,https://www.wilhelmshaven.de/,19/03/2020 00:00,5,,,,,,,,0,,,,,,,,,3
Wittenberg,Landkreis,7,133%,https://www.landkreis-wittenberg.de/de/aktuelles/informationen-zum-coronavirus.html,https://www.landkreis-wittenberg.de/de/aktuelles/informationen-zum-coronavirus.html,18/03/2020 18:52,7,,,,,,,,0,,,,,,,,,15
Wittmund,Landkreis,3,0%,https://www.landkreis-wittmund.de/LebenArbeiten/Gesundheit/Infektionsschutz/Coronavirus.aspx,https://www.landkreis-wittmund.de/LebenArbeiten/Gesundheit/Infektionsschutz/Coronavirus.aspx,19/03/2020 00:00,3,,,,,,,,0,,,,,,,,,3
Wolfenbüttel,Landkreis,2,100%,"https://www.lk-wolfenbuettel.de/Aktuelles/Presse/Zweiter-Fall-einer-Infektion-mit-dem-Corona-Virus-im-Landkreis-Wolfenb%C3%BCttel-best%C3%A4tigt.php?object=tx,3282.5&ModID=7&FID=3282.11004.1&NavID=175.225.1",https://www.braunschweiger-zeitung.de/wolfenbuettel/article228711753/Erster-bestaetigter-Corona-Fall-im-Landkreis-Wolfenbuettel.html,19/03/2020 00:00,2,,,,,,,,0,,,,,,,,,3
Wolfsburg,Kreisfreie Stadt,8,100%,https://www.wolfsburg.de/newsroom/2020/02/26/13/41/coronavirus,https://www.wolfsburg.de/newsroom/2020/02/26/13/41/coronavirus,18/03/2020 9:30,8,,,,,,,,0,,,,,,,,,3
Worms,Kreisfreie Stadt,16,14%,https://www.worms.de/de/aktuelles/stadtnachrichten/2020-03-12-16-26-24.php#anchor_25a7a48d_Accordion-Kindergaerten-und-Kindertagesstaetten,https://www.kreis-alzey-worms.eu/verwaltung/aktuelles/meldungen/2020_03_18_3780787059_meldung.php,19/03/2020 00:30,16,,,,,3/19/2020 15:44:43,https://lua.rlp.de/de/presse/detail/news/News/detail/coronavirus-sars-cov-2-aktuelle-fallzahlen-fuer-rheinland-pfalz/,@passix_,0,,,,,,,,,7
Wunsiedel i. Fichtelgebirge,Landkreis,16,14%,https://www.landkreis-wunsiedel.de/buergerservice/news/2020/wichtige-informationen-zum-coronavirus-sars-cov-2,https://www.landkreis-wunsiedel.de/buergerservice/news/2020/wichtige-informationen-zum-coronavirus-sars-cov-2,19/03/2020 00:00,16,,,,,,,,0,,,,,,,,,9
Wuppertal,Kreisfreie Stadt,50,61%,https://www.wuppertal.de/presse/meldungen/meldungen-2020/februar20/corona-virus-information.php,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,19/03/2020 00:00,50,,,,,,,,0,,,,,,,,,5
Würzburg,Kreisfreie Stadt,41,2%,https://www.wuerzburg.de/themen/gesundheit-soziales/coronavirus/index.html,https://www.wuerzburg.de/themen/gesundheit-soziales/coronavirus/index.html,18/03/2020 21:50,42,,,,5,3/19/2020 11:00,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,,1,,,,,,,,,9
Würzburg,Landkreis,60,28%,"https://www.landkreis-wuerzburg.de/Auf-einen-Klick/Aktuelles/Coronavirus/Sieben-neue-Corona-F%C3%A4lle-in-Stadt-und-Landkreis-W%C3%BCrzburg-Landrat-sagt-Wahlstudio-im-Landratsamt-ab.php?object=tx,2680.5&ModID=7&FID=2680.21372.1&NavID=2680.396&La=1","https://www.landkreis-wuerzburg.de/Auf-einen-Klick/Aktuelles/Coronavirus/Sieben-neue-Corona-F%C3%A4lle-in-Stadt-und-Landkreis-W%C3%BCrzburg-Landrat-sagt-Wahlstudio-im-Landratsamt-ab.php?object=tx,2680.5&ModID=7&FID=2680.21372.1&NavID=2680.396&La=1",18/03/2020 21:50,65,,,,,3/19/2020 11:00,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,,1,,,,,,,,,9
Zollernalbkreis,Landkreis,60,18%,https://www.zollernalbkreis.de/aktuelles/nachrichten/antworten+auf+haeufig+gestellte+fragen+zum+neuartigen+coronavirus,https://www.zollernalbkreis.de/aktuelles/nachrichten/antworten+auf+haeufig+gestellte+fragen+zum+neuartigen+coronavirus,18/03/2020 19:45,60,,,,,,,,0,,,,,,,,,8
Zweibrücken,Kreisfreie Stadt,0,,http://www.lkswp.de/corona-info,http://www.lkswp.de/corona-info,18/03/2020,0,,,,,,,,0,,,,,,,,,7
Zwickau,Landkreis,37,61%,https://www.landkreis-zwickau.de/index.html,https://www.landkreis-zwickau.de/anzahl-der-faelle-weiter-im-ansteigen,18/03/2020 16:30,37,,,,,,,,0,,,,,,,,,14
